幼なじみリレイション	安西理晃
動物のおしゃべり	神仙寺瑛
リコーダーとランドセル	東屋めめ
きらきらビームプロダクション	板倉梓
だから美代子です	むんこ
ちぃちゃんのおしながき	大井昌和
うちの3ネコ	松本ぷりっつ
ばつ×いち	おーはしるい
もしも部	ノッツ
先生ロックオン！2nd	神堂あらし
新婚よそじのメシ事情	小坂俊史
セトギワ花ヨメ	胡桃ちの
よっけ家族	宇仁田ゆみ
さかな＆ねこ	森井ケンシロウ
ときめきさがし	今日マチ子
りふじんなふたり	松田円
美術館のなかのひとたち	黒田いずま
たばたちゃん派	みずしな孝之
よんこまのこ	重野なおき
中年女子画報	柘植文
おうちがいちばん～アンコール～	秋月りす
願いましては	碓井尻尾
神域聖地霊場ウォーカー	カラスヤサトシ
とーこん家族	よしもとあきこ
ぼのちゃん	いがらしみきお
全ての映画は、ながしかく	施川ユウキ
銀子の窓口	唐草ミチル
そのアパート、座敷童子付き物件につき…	小夏ゆーた
晴れのちシンデレラ	宮成楽	隔月連載
のみじょし	迂闊	隔月連載
なごみクラブ	遠藤淑子	不定期連載？
エデンの東北	深谷かほる	不定期連載？
プレゼントフォーユー	四宮しの	シーズンゲスト
母と息子シリーズ	仙石寛子	シーズンゲスト
